Folder,File,Spots,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well1_Object1.tif_projection.tif,11,2043239,7604.8188,116.2034,4062,186
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well3_Object3.tif_projection.tif,19,10409503,3449.9951,114.3537,2917,134
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well2_Object1.tif_projection.tif,45,1991569,2744.4707,138.985,3075,235
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well3_Object1.tif_projection.tif,17,15612513,2441.6719,107.5099,1948,114
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well2_Object4.tif_projection.tif,6,1170326,2344.5391,132.9406,3093,233
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well2_Object3.tif_projection.tif,64,7519572,1969.7411,114.1726,1598,117
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well3_Object1.tif_projection.tif,1,6196245,3692.5078,125.0093,2192,156
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well3_Object3.tif_projection.tif,5,11034328,2995.3291,110.3422,1992,120
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well2_Object3.tif_projection.tif,24,1253630,2163.6411,128.9403,2899,173
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well4_Object5.tif_projection.tif,1,10903764,617.4816,115.0588,3863,141
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well3_Object4.tif_projection.tif,471,1673427,14334.5352,113.9855,3491,132
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well2_Object4.tif_projection.tif,643,1836469,12354.877,118.3048,2946,173
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well4_Object0.tif_projection.tif,3,14886738,4306.9863,124.5003,3980,131
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well3_Object2.tif_projection.tif,3,16643323,3181.9597,120.4576,1991,131
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well3_Object1.tif_projection.tif,486,2031847,12349.6963,111.2654,5022,172
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well2_Object3.tif_projection.tif,387,1421120,9158.7021,115.8242,2798,164
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well2_Object2.tif_projection.tif,0,10382241,733.0988,113.6594,1750,126
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well2_Object7.tif_projection.tif,1,5183342,1760.5918,124.2823,1767,157
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well1_Object1.tif_projection.tif,3,13099121,1043.0729,112.8781,2537,141
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well2_Object0.tif_projection.tif,2,8848189,1646.1604,119.5318,1757,133
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well2_Object2.tif_projection.tif,1,18158466,1131.5392,118.6692,2767,135
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well2_Object0.tif_projection.tif,423,8270483,5352.1084,123.2367,2255,126
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well2_Object1.tif_projection.tif,17,11583250,1571.5507,111.5501,2425,151
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well3_Object3.tif_projection.tif,1,12120585,1137.1033,114.5704,2420,129
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well2_Object2.tif_projection.tif,528,1796419,11206.8066,115.297,3101,188
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well4_Object2.tif_projection.tif,16,6006359,1593.9138,123.9927,2069,149
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well4_Object3.tif_projection.tif,3,11787562,1796.1174,109.6504,2167,109
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well3_Object2.tif_projection.tif,3,12012168,1532.3883,115.7759,2014,125
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well1_Object0.tif_projection.tif,0,1255214,319.479,121.828,1645,139
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well3_Object0.tif_projection.tif,41,1436544,3116.2866,122.5292,6874,158
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well3_Object4.tif_projection.tif,82,5648132,3529.4453,125.1984,1911,152
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well4_Object2.tif_projection.tif,0,12208456,458.3884,113.8081,1975,151
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well4_Object2.tif_projection.tif,406,1226880,7259.665,109.5024,3655,124
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well2_Object1.tif_projection.tif,2,528592,1499.6035,128.3497,4071,200
