Folder,File,Spots,Area,DMax,Dmin,Smax,Smin,Garbage
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well3_Object2.tif_projection.tif,1,11496324,603.5414,115.3471,3033,137,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well3_Object3.tif_projection.tif,61,1594882,9742.5449,128.516,4145,218,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well4_Object1.tif_projection.tif,0,310024,903.4347,104.9562,16604,153,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well2_Object2.tif_projection.tif,60,1870259,3319.3906,113.4157,3408,164,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well2_Object2.tif_projection.tif,42,8355849,1698.9667,114.577,2009,126,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well2_Object5.tif_projection.tif,13,7189925,5393.5894,110.8237,1698,117,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well1_Object3.tif_projection.tif,1,7753712,2538.3992,120.153,1883,123,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well2_Object4.tif_projection.tif,6,8510043,1379.7499,115.656,1783,129,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well4_Object3.tif_projection.tif,28,7823749,1729.5502,112.0698,1882,116,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well1_Object0.tif_projection.tif,0,16488282,826.4921,113.8177,31403,127,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well2_Object0.tif_projection.tif,0,4145690,387.516,112.8381,1973,132,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well2_Object1.tif_projection.tif,4,6302377,1957.302,124.5317,1759,166,
