,Experiment,TrackID,Location,Track Displacement Y,Track Displacement X,Track Displacement Length,Track Duration,Track Length,Track Position X Start,Track Speed Max,Track Speed Mean,Track Speed Variation,Track Straightness,Alpha,Y Start Center,Gamma,Intensity,Mean InstaSpeed,Max Acceleration,Velocity X,Velocity Y,Time Interval,X Start Center,Filename,Experiment Num,Track Intensity Mean,Alphas,Mean Angle X,Mean Angle Y
72,52814,1000000038,Back,-25.0227,148.76,150.85,192.0,174.882,273.754,1.52331,0.9108450000000001,0.397669,0.8625790000000001,2.03300423,32.976,57.00307903,146.60668,0.8321235999999999,0.193113,0.7578520040000001,-0.11650058,8.0,29.754,Ang2Tracks.csv,,,,,
73,52814,1000000049,Back,-17.5134,202.63,203.385,376.0,260.562,287.98400000000004,1.3674899999999999,0.692983,0.41053199999999995,0.780565,2.048851704,5.752999999999999,20.82067171,131.9826375,0.636986796,0.172657,0.5390814,-0.052403667,8.0,43.983999999999995,Ang2Tracks.csv,,,,,
74,52814,1000000061,Back,-24.8085,114.053,116.72,232.0,158.046,274.318,1.21153,0.681233,0.283846,0.7385149999999999,1.931870596,45.663000000000004,20.36224339,164.2028,0.610775637,0.201533,0.48493147,-0.106490827,8.0,30.318,Ang2Tracks.csv,,,,,
75,52814,1000000063,Back,-19.9348,150.256,151.572,376.0,251.275,271.91900000000004,1.24758,0.668283,0.388723,0.603215,1.934585389,40.037,18.41776906,176.6128271,0.557809813,0.20817,0.391291425,-0.050407844,8.0,27.919,Ang2Tracks.csv,,,,,
76,52814,1000000080,Back,-14.0194,200.72400000000002,201.213,368.0,249.709,288.89799999999997,1.3840299999999999,0.678558,0.47796000000000005,0.8057880000000001,1.932246801,-12.319,24.21541628,125.31027659999998,0.615963021,0.218825,0.545371783,-0.030750918999999998,8.0,44.898,Ang2Tracks.csv,,,,,
77,52814,1000000114,Back,1.8315099999999997,135.19799999999998,135.21,160.0,150.279,295.476,1.72954,0.939242,0.353722,0.899731,1.8867577690000001,-27.272,70.34679242,157.3928095,0.871468667,0.240837,0.829527,0.018334886,8.0,51.476000000000006,Ang2Tracks.csv,,,,,
78,52814,1000000133,Back,-2.66431,179.419,179.438,288.0,228.437,290.621,2.0202,0.793186,0.579094,0.785503,1.9516152430000002,-8.116,41.87619493,131.8378162,0.7167075409999999,0.238906,0.609799608,-0.010688535,8.0,46.621,Ang2Tracks.csv,,,,,
79,52814,1000000135,Back,7.658110000000001,166.037,166.213,248.0,193.555,288.808,1.73163,0.780465,0.42763599999999996,0.858736,1.54405724,-32.766,71.59727237,141.7365581,0.7765300940000001,0.319473,0.702511332,0.035355339,8.0,44.808,Ang2Tracks.csv,,,,,
80,52814,1000000175,Back,5.63678,84.8407,85.0278,136.0,119.601,292.632,1.2147,0.879417,0.21989499999999998,0.7109300000000001,2.00708299,-12.56,20.91339952,144.2916111,0.727282,0.28410100000000005,0.6448770220000001,0.038642494,8.0,48.632,Ang2Tracks.csv,,,,,
81,52814,1000000189,Back,34.9769,94.8135,101.059,136.0,136.12,291.04200000000003,1.4227100000000001,1.00088,0.258368,0.7424270000000001,2.031375487,-19.787,32.15766923,154.60185,0.8939113329999999,0.276107,0.703593556,0.22884356100000003,8.0,47.042,Ang2Tracks.csv,,,,,
82,52814,1000000191,Back,-40.1661,169.97299999999998,174.65400000000002,272.0,225.745,288.751,1.8369,0.829944,0.539628,0.773679,1.831708769,27.99,40.59809985,136.7618771,0.7534747890000001,0.307738,0.62525896,-0.14648602900000002,8.0,44.751000000000005,Ang2Tracks.csv,,,,,
83,52814,1000000234,Back,7.68658,79.2641,79.63600000000001,128.0,109.71700000000001,286.193,1.3904,0.8571620000000001,0.397796,0.725833,1.4227068,-30.434,112.3292956,172.30394119999997,0.7740889409999999,0.253163,0.624604235,0.07167444099999999,8.0,42.193000000000005,Ang2Tracks.csv,,,,,
84,52814,1000000400,Back,11.988,88.4116,89.2206,88.0,109.06299999999999,294.311,1.85555,1.23935,0.295707,0.818063,1.5375409009999998,-24.608,224.55110240000002,209.04575,1.102367167,0.26501399999999997,0.91314875,0.12660933300000002,8.0,50.31100000000001,Ang2Tracks.csv,,,,,
85,52814,1000000422,Back,-4.1458699999999995,95.1042,95.1945,184.0,119.00299999999999,292.113,1.34334,0.646757,0.442971,0.7999310000000001,1.95026319,10.884,29.98066821,123.7431,0.587112513,0.248459,0.494025421,-0.038278685,8.0,48.113,Ang2Tracks.csv,,,,,
86,52814,1000000492,Back,-22.8729,91.5147,94.3298,224.0,138.601,300.79900000000004,1.09879,0.618754,0.33911399999999997,0.6805859999999999,1.743901058,21.399,25.51588456,127.5459862,0.5195502000000001,0.202303,0.40179301700000003,-0.104456755,8.0,56.799,Ang2Tracks.csv,,,,,
87,52814,1000000566,Back,47.2537,72.3933,86.4506,192.0,117.064,297.486,0.975532,0.6097060000000001,0.401007,0.7384930000000001,1.8543249169999998,-48.933,15.74738191,133.226696,0.54668492,0.207941,0.38834938799999996,0.24129405199999998,8.0,53.486000000000004,Ang2Tracks.csv,,,,,
88,52814,1000000597,Back,34.9649,94.2346,100.512,256.0,161.549,301.475,1.40402,0.6310520000000001,0.48797299999999993,0.6221770000000001,1.59007596,-30.355999999999998,24.59093685,139.3459788,0.539703891,0.20490799999999998,0.379292358,0.142402929,8.0,57.475,Ang2Tracks.csv,,,,,
89,52814,1000000607,Back,41.6118,67.7318,79.493,280.0,174.49,306.478,1.33226,0.623178,0.445037,0.455574,1.3128448609999999,-69.84899999999999,33.05316247,717.5556389,0.455795797,0.283987,0.23736904399999997,0.14730020800000002,8.0,62.478,Ang2Tracks.csv,,,,,
90,52814,1000000628,Back,25.0392,35.306999999999995,43.2845,160.0,77.8725,295.31,1.1598899999999999,0.486703,0.57211,0.555838,1.093645038,-62.103,44.70816293,147.5714286,0.412446652,0.135132,0.22410012899999998,0.16459014800000002,8.0,51.31,Ang2Tracks.csv,,,,,
91,41014,1000000000,Front,-3.8103,102.18700000000001,102.258,140.0,112.98200000000001,329.92400000000004,1.7151599999999998,0.8070149999999999,0.41780600000000007,0.9050799999999999,1.92485734,-20.292,41.23061713,173.3329524,0.779889857,0.22304000000000002,0.741357143,-0.045139833,7.0,71.92399999999999,Ang2Tracks.csv,,,,,
92,41014,1000000021,Front,16.6005,82.7671,84.4155,126.0,98.9197,355.37199999999996,1.26162,0.785077,0.337437,0.853374,1.8519770690000001,-20.904,41.56263546,174.8301053,0.6952944740000001,0.17899400000000001,0.611397405,0.136510815,7.0,97.37200000000001,Ang2Tracks.csv,,,,,
93,41014,1000000022,Front,27.4397,45.2142,52.8892,98.0,68.9501,398.55300000000005,1.00658,0.703573,0.288985,0.7670640000000001,1.769123725,6.602,26.3056989,192.66326669999998,0.596579107,0.191119,0.46850496700000005,0.265916227,7.0,140.553,Ang2Tracks.csv,,,,,
94,41014,1000000023,Front,22.2301,90.5984,93.2858,189.0,101.868,313.561,0.867051,0.538982,0.33781300000000003,0.9157549999999999,1.99058514,-28.435,12.56675221,292.7042143,0.519246679,0.12000699999999999,0.484058096,0.11884492099999999,7.0,55.56100000000001,Ang2Tracks.csv,,,,,
95,41014,1000000025,Front,2.84076,59.9976,60.0648,203.0,85.3011,341.839,0.8533139999999999,0.420203,0.365719,0.70415,1.82407566,-5.356,7.6518220370000005,211.9673,0.34492902299999995,0.15934700000000002,0.297275473,0.018595313,7.0,83.839,Ang2Tracks.csv,,,,,
96,91714,1000000000,Back,-8.31912,34.0467,35.0483,152.0,78.8276,192.685,0.732966,0.5186029999999999,0.277744,0.44461999999999996,1.652272985,0.28,10.26320037,121.790295,0.42994449,0.142043,0.24023343,-0.05055028,8.0,70.685,Ang2Tracks.csv,,,,,
97,91714,1000000006,Back,-4.67786,52.9397,53.146,216.0,94.0379,178.96200000000002,1.10741,0.43536099999999994,0.445171,0.565155,1.311579622,14.657,15.9620318,110.4746071,0.351514139,0.202518,0.256202683,-0.022411298,8.0,56.961999999999996,Ang2Tracks.csv,,,,,
98,91714,1000000018,Back,3.2578400000000003,75.9711,76.041,272.0,128.41899999999998,192.252,0.906634,0.472127,0.471063,0.592134,1.7512802219999999,-17.254,11.38328612,105.17124,0.393275263,0.184449,0.285438622,0.012139206000000001,8.0,70.252,Ang2Tracks.csv,,,,,
99,91714,1000000021,Back,-0.924377,40.5171,40.5276,104.0,64.807,189.75799999999998,1.23783,0.6231439999999999,0.501049,0.625359,1.846563221,-31.148000000000003,15.702897400000001,101.8139857,0.5210064999999999,0.17873,0.351443529,-0.028886336000000002,8.0,67.758,Ang2Tracks.csv,,,,,
100,91714,1000000048,Back,5.72321,113.575,113.719,200.0,141.359,176.22400000000002,2.5000400000000003,0.706797,0.662209,0.80447,1.746643074,21.16,46.00724373,123.41905,0.6451457310000001,0.382538,0.557280462,0.010236773000000001,8.0,54.224,Ang2Tracks.csv,,,,,
101,91714,1000000081,Back,17.6846,81.8056,83.6953,192.0,107.854,192.65200000000002,1.30234,0.561737,0.5448069999999999,0.7760090000000001,1.263825613,-10.216000000000001,61.77701410000001,106.790244,0.51479044,0.12363900000000001,0.428424032,0.080436337,8.0,70.652,Ang2Tracks.csv,,,,,
102,91714,1000000103,Back,21.5638,83.7452,86.4769,144.0,97.4599,192.321,1.52969,0.676805,0.5286770000000001,0.887308,1.74251656,-21.058000000000003,43.34153429,129.7324368,0.642761947,0.214223,0.571972495,0.155002992,8.0,70.321,Ang2Tracks.csv,,,,,
103,91714,1000000115,Back,17.3423,105.65100000000001,107.065,128.0,113.145,191.169,1.64536,0.883948,0.39109,0.946262,1.7384178730000002,-16.833,93.47062700000001,118.3623471,0.855161235,0.224489,0.820472,0.137584094,8.0,69.169,Ang2Tracks.csv,,,,,
104,22814,1000000000,Back,-10.6422,104.613,105.15299999999999,350.0,258.645,239.28400000000002,1.8432,0.738985,0.556296,0.40655399999999997,1.2713000490000002,62.668,52.64836227,590.5068431,0.627520245,0.266365,0.29697097100000003,-0.039687516,7.0,7.284,Ang2Tracks.csv,,,,,
105,22814,1000000001,Back,-39.1947,60.933,72.4503,98.0,85.4877,256.20099999999996,2.23655,0.872324,0.592661,0.8474940000000001,2.353248718,26.526,10.16264077,559.16,0.8526967329999999,0.408025,0.623905533,-0.42010444700000005,7.0,24.201,Ang2Tracks.csv,,,,,
106,22814,1000000002,Back,3.32041,160.947,160.981,294.0,271.142,298.113,2.88866,0.9222530000000001,0.625879,0.593716,1.740561847,-8.917,31.7247903,664.0120232999999,0.716856698,0.781632,0.54871916,0.022055462,7.0,66.113,Ang2Tracks.csv,,,,,
107,22814,1000000003,Back,-3.80856,105.89,105.958,217.0,154.842,283.204,1.46691,0.713557,0.516153,0.6843,1.8022000180000002,20.546,31.62459925,645.3115625,0.657543656,0.261265,0.47370541299999996,-0.022703584,7.0,51.20399999999999,Ang2Tracks.csv,,,,,
108,22814,1000000004,Back,32.8453,209.65200000000002,212.209,329.0,277.527,278.631,1.97997,0.8435459999999999,0.541755,0.764645,2.073525542,44.433,29.95563618,606.0066042000001,0.782173752,0.248069,0.62431052,0.111494176,7.0,46.631,Ang2Tracks.csv,,,,,
109,22814,1000000005,Back,30.9915,58.2337,65.9669,119.0,90.0927,264.258,1.47274,0.757081,0.45464499999999997,0.732212,1.7077500319999999,-5.8870000000000005,28.70425217,629.8731111000001,0.739960611,0.172493,0.49070842200000003,0.26755488899999996,7.0,32.258,Ang2Tracks.csv,,,,,
110,22814,1000000006,Back,1.088,194.648,194.65099999999998,315.0,262.485,236.16400000000002,2.5422599999999997,0.8332870000000001,0.656445,0.741567,1.90556843,49.523999999999994,40.6605278,576.6923912999999,0.742462209,0.369784,0.606223317,0.002312445,7.0,4.164,Ang2Tracks.csv,,,,,
111,22814,1000000007,Back,10.6241,102.054,102.605,161.0,136.298,271.04400000000004,1.75785,0.8465719999999999,0.555887,0.7528,1.70520312,-25.7599,62.92897639,699.55775,0.739087712,0.185092,0.6149721920000001,0.068118364,7.0,39.044000000000004,Ang2Tracks.csv,,,,,
112,22814,1000000015,Back,29.3443,94.146,98.6132,168.0,115.352,292.767,1.3665,0.68662,0.435799,0.8548879999999999,1.734684699,-53.6859,32.62816381,634.98136,0.64497524,0.16884000000000002,0.566408488,0.17814630399999998,7.0,60.766999999999996,Ang2Tracks.csv,,,,,
113,22814,1000000022,Back,-37.8565,187.69299999999998,191.47299999999998,273.0,225.8,282.694,1.4553399999999999,0.827108,0.401886,0.847974,2.048545223,20.102999999999998,29.33812183,618.067925,0.7547191999999999,0.284348,0.684201395,-0.130432109,7.0,50.693999999999996,Ang2Tracks.csv,,,,,
