dapi_int,red_int,green_int
573.5,1885.5425,1176.5736
581,1895.2312,202.07765
389,1898.6923,152.64041
309.75,1900.0913,595.66095
51.5,1900.7017,106.428955
370,1901.7983,295.7257
247,1907.431,114.08494
3.5,1909.6677,190.38087
131,1911.7466,464.43866
206,1913.8927,98.489555
164.25,1915.0563,256.1228
26.25,1917.5978,122.77845
839.5,1918.3678,458.40527
590.75,1918.6367,366.91733
4.25,1918.9343,211.31699
453,1919.0405,61.927895
104.5,1919.5729,76.08202
330,1928.5781,237.24695
222,1934.3384,193.907
386.5,1935.488,237.14038
645,1936.0143,482.9753
1037.5,1936.277,568.2902
64.25,1937.976,221.69067
144.75,1940.681,642.9564
362.75,1943.5248,78.874725
286.75,1945.2551,106.18038
60.25,1950.8872,648.26263
159.25,1952.1422,104.59334
21.75,1952.7341,162.63907
567.25,1955.9026,227.90327
507.5,1955.9117,109.97525
516.75,1962.6737,232.31538
420.25,1964.1195,144.86401
327.25,1964.4131,1033.0923
202.5,1964.8419,260.15576
2,1966.1777,60.506916
184.5,1968.9464,132.29329
330.75,1969.4255,759.19495
15.25,1974.0675,938.6415
604.25,1974.1346,735.872
152,1975.4386,1695.6038
6,1975.6299,344.27237
353.5,1978.3933,250.40106
140.25,1981.3131,433.48358
383.5,1983.9246,196.38959
88.25,1984.0151,882.75494
280.25,1988.6251,54.08339
376.25,1991.7776,469.90442
1.25,1994.8578,111.72285
89,1996.1848,547.17505
584.5,1996.4703,686.73096
663,1998.1705,90.95225
170.75,2001.139,699.78577
131,2002.0192,258.5272
54.25,2004.3427,227.28987
191.75,2005.9785,364.95526
166.75,2007.8341,133.96718
8.5,2013.7001,166.23274
377,2014.482,48.66685
379.75,2017.516,702.5826
151.5,2019.4672,503.87323
429.75,2019.602,1516.5217
383.25,2020.0999,268.07666
1180.75,2021.349,229.68857
183.5,2022.4391,101.5204
416.5,2022.4417,65.31832
279.75,2024.1206,560.2898
193.25,2024.588,541.7396
171.25,2024.745,119.7018
244,2025.6891,189.5138
734.5,2029.3839,244.79126
3.25,2031.7506,257.7926
310.25,2034.404,136.0049
158.5,2038.9403,107.77006
160,2042.4777,195.52316
42.25,2044.3086,153.18953
132.25,2046.2054,41.30262
354.5,2047.9155,279.08527
199.25,2051.5422,771.08435
5.25,2052.0127,231.17754
96.5,2054.5127,189.75212
960,2055.4326,156.13187
504.25,2057.8223,402.33545
63.75,2059.7336,130.01923
196.5,2059.936,292.602
43.5,2060.3066,83.81164
7.5,2063.7769,123.47873
389.5,2063.7974,249.59642
273.5,2064.5027,100.462616
50.25,2067.2092,117.12082
317.5,2067.3894,-138.44797
9.5,2067.6123,134.36981
294,2068.4072,164.23302
356,2070.1257,34.226383
274.5,2074.08,914.1232
322.5,2076.6792,597.25494
435,2077.1096,87.71446
186.5,2078.3584,139.51685
716.5,2079.5344,2805.6365
501,2081.566,288.63693
931.5,2081.7366,1888.4122
1735.25,2083.2898,166.83214
198.75,2085.5896,121.115814
258.75,2093.682,256.672
186.25,2096.2083,43.23749
42.25,2097.395,60.75944
36,2099.2593,113.47187
278.75,2100.5334,64.91861
63.75,2100.696,846.1481
33,2101.6592,209.54393
280.5,2102.7515,98.73852
7.5,2105.9846,156.48378
98.75,2108.4243,98.33341
398.5,2113.8955,285.98285
48.75,2113.9226,486.1009
242.25,2118.9927,586.2245
393.25,2119.764,168.4132
308.25,2121.916,1045.5865
1094.75,2125.9934,401.60004
264,2132.421,275.0343
281.25,2133.1802,866.19904
225.75,2133.393,383.56442
949.5,2136.3223,2202.1804
98.75,2139.462,329.51178
122.75,2139.6804,116.34297
254,2139.925,158.74448
101.5,2143.6025,177.02478
106.5,2144.1438,115.96473
99,2144.857,136.13939
274.25,2147.574,236.27914
114.5,2149.21,116.00336
109.25,2150.959,179.86789
5.75,2153.3992,121.55149
0,2154.71,90.61738
257,2156.8936,-52.43546
87.25,2163.0908,493.82126
135.25,2163.868,54.886322
102.25,2164.759,150.48239
37.75,2165.6033,546.0488
73,2170.7412,411.5081
74.5,2171.603,393.32605
60.75,2175.8787,927.77985
154.5,2177.751,677.6463
216.25,2179.4658,62.414635
265.5,2179.9697,163.87738
401.75,2181.4675,467.23422
695.25,2183.026,129.4161
455,2183.3367,111.87317
422.5,2184.8657,399.42615
254.5,2185.3687,592.80035
131.25,2185.8533,869.7553
384.25,2185.8662,550.36127
442.75,2185.947,186.01599
88.75,2187.3071,63.89951
696.75,2188.2646,378.94354
382.5,2193.0005,467.12988
114.75,2193.266,191.73271
579.75,2197.3042,98.80731
65.75,2197.3374,403.41663
1343.5,2198.5146,203.41225
398.75,2198.857,1175.2563
157.75,2203.4097,1071.7512
124.25,2208.3994,214.47826
108.75,2208.5693,172.21237
678,2209.8645,398.59348
367.5,2211.987,2081.9448
172.25,2213.885,77.10988
560.5,2218.08,69.048744
44.75,2218.6545,633.31744
83.25,2220.5918,276.11676
51.75,2223.1604,168.71788
193,2223.9255,1320.6189
176.75,2224.4006,115.51915
63.25,2225.2664,80.75625
25.75,2226.3066,46.759445
4,2227.0144,112.614105
281,2231.3662,84.44133
84.25,2235.9163,109.08001
263,2243.8914,653.7566
170,2245.4932,703.80975
0,2246.4543,205.59744
65.75,2251.3125,90.729065
251.25,2254.9795,475.32837
457,2259.2942,91.594986
782.25,2260.5183,2198.7283
16.25,2262.475,262.8984
559,2265.9363,-134.92229
731.25,2268.029,1632.3339
134,2269.754,107.19759
420,2274.3887,144.87248
79.25,2275.12,78.87514
18.75,2277.4204,161.77608
25.5,2277.5925,789.8161
216,2277.8228,251.05281
325.75,2279.748,103.33004
252.75,2283.2104,78.3943
611.5,2283.6157,200.75264
