,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
12019,20200218,WA,6724540.0,0.0,0.0,0.0,0.0,218,2020-02-18
12018,20200218,NJ,8791894.0,0.0,0.0,0.0,0.0,218,2020-02-18
12017,20200218,MA,6547629.0,0.0,0.0,0.0,0.19854515275682236,218,2020-02-18
12016,20200219,WA,6724540.0,0.0,0.0,0.0,0.0,219,2020-02-19
12015,20200219,NJ,8791894.0,0.0,0.0,0.0,0.0,219,2020-02-19
12014,20200219,MA,6547629.0,0.0,0.0,0.0,0.19854515275682236,219,2020-02-19
12013,20200220,WA,6724540.0,0.0,0.0,0.0,0.0,220,2020-02-20
12012,20200220,NJ,8791894.0,0.0,0.0,0.0,0.0,220,2020-02-20
12011,20200220,MA,6547629.0,0.0,0.015272704058217105,0.0,0.21381785681503945,220,2020-02-20
12010,20200221,WA,6724540.0,0.0,0.0,0.0,0.0,221,2020-02-21
12009,20200221,NJ,8791894.0,0.0,0.0,0.0,0.0,221,2020-02-21
12008,20200221,MA,6547629.0,0.0,0.0,0.0,0.21381785681503945,221,2020-02-21
12007,20200222,WA,6724540.0,0.0,0.0,0.0,0.0,222,2020-02-22
12006,20200222,NJ,8791894.0,0.0,0.0,0.0,0.0,222,2020-02-22
12005,20200222,MA,6547629.0,0.0,0.0,0.0,0.21381785681503945,222,2020-02-22
12004,20200223,WA,6724540.0,0.0,0.0,0.0,0.0,223,2020-02-23
12003,20200223,NJ,8791894.0,0.0,0.0,0.0,0.0,223,2020-02-23
12002,20200223,MA,6547629.0,0.0,0.0,0.0,0.21381785681503945,223,2020-02-23
12001,20200224,WA,6724540.0,0.0,0.0,0.0,0.0,224,2020-02-24
12000,20200224,NJ,8791894.0,0.0,0.0,0.0,0.0,224,2020-02-24
11999,20200224,MA,6547629.0,0.0,0.03054540811643421,0.0,0.24436326493147367,224,2020-02-24
11998,20200225,WA,6724540.0,0.0,0.0,0.0,0.0,225,2020-02-25
11997,20200225,NJ,8791894.0,0.0,0.0,0.0,0.0,225,2020-02-25
11996,20200225,MA,6547629.0,0.0,0.0,0.0,0.24436326493147367,225,2020-02-25
11995,20200226,WA,6724540.0,0.029741811335793972,0.0,0.029741811335793972,0.0,226,2020-02-26
11994,20200226,NJ,8791894.0,0.0,0.0,0.0,0.0,226,2020-02-26
11993,20200226,MA,6547629.0,0.0,0.0,0.0,0.24436326493147367,226,2020-02-26
11992,20200227,WA,6724540.0,0.0,0.0,0.029741811335793972,0.0,227,2020-02-27
11991,20200227,VA,8001024.0,0.0,0.0,0.0,80.55218931976707,227,2020-02-27
11990,20200227,NJ,8791894.0,0.0,0.0,0.0,0.0,227,2020-02-27
11989,20200227,MA,6547629.0,0.0,0.0,0.0,0.24436326493147367,227,2020-02-27
11988,20200228,WA,6724540.0,0.029741811335793972,0.0,0.059483622671587945,0.0,228,2020-02-28
11987,20200228,VA,8001024.0,0.0,0.0,0.0,80.55218931976707,228,2020-02-28
11986,20200228,NJ,8791894.0,0.0,0.0,0.0,0.0,228,2020-02-28
11985,20200228,MA,6547629.0,0.0,0.03054540811643421,0.0,0.2749086730479079,228,2020-02-28
11984,20200229,WA,6724540.0,0.014870905667896986,0.6245780380516734,0.07435452833948493,0.6245780380516734,229,2020-02-29
11983,20200229,VA,8001024.0,0.0,0.024996800409547576,0.0,80.57718612017662,229,2020-02-29
11982,20200229,NJ,8791894.0,0.0,0.0,0.0,0.0,229,2020-02-29
11981,20200229,MA,6547629.0,0.0,0.015272704058217105,0.0,0.29018137710612496,229,2020-02-29
11980,20200301,WA,6724540.0,0.04461271700369096,1.115317925092274,0.11896724534317589,1.7398959631439472,301,2020-03-01
11979,20200301,VA,8001024.0,0.0,0.024996800409547576,0.0,80.60218292058616,301,2020-03-01
11978,20200301,RI,1052567.0,0.0,0.0,0.0,0.0,301,2020-03-01
11977,20200301,NJ,8791894.0,0.0,0.0,0.0,0.0,301,2020-03-01
11976,20200301,MI,9883640.0,0.0,0.0,0.0,0.14164821867247288,301,2020-03-01
11975,20200301,MA,6547629.0,0.0,0.06109081623286842,0.0,0.3512721933389934,301,2020-03-01
11974,20200302,WA,6724540.0,0.04461271700369096,2.795730265564633,0.16357996234686684,4.535626228708581,302,2020-03-02
11973,20200302,VA,8001024.0,0.0,0.012498400204773788,0.0,80.61468132079094,302,2020-03-02
11972,20200302,RI,1052567.0,0.0,0.3800233144303403,0.0,0.3800233144303403,302,2020-03-02
11971,20200302,NJ,8791894.0,0.0,0.0,0.0,0.0,302,2020-03-02
11970,20200302,MI,9883640.0,0.0,0.13153048876729626,0.0,0.27317870743976913,302,2020-03-02
11969,20200302,MA,6547629.0,0.0,0.09163622434930263,0.0,0.44290841768829603,302,2020-03-02
11968,20200303,WA,6724540.0,0.04461271700369096,3.360824680944719,0.2081926793505578,7.896450909653299,303,2020-03-03
11967,20200303,VA,8001024.0,0.0,0.012498400204773788,0.0,80.62717972099571,303,2020-03-03
11966,20200303,RI,1052567.0,0.0,0.09500582860758508,0.0,0.47502914303792537,303,2020-03-03
11965,20200303,NJ,8791894.0,0.0,0.0,0.0,0.0,303,2020-03-03
11964,20200303,MI,9883640.0,0.0,0.23270778781906262,0.0,0.5058864952588318,303,2020-03-03
11963,20200303,MA,6547629.0,0.0,0.22909056087325658,0.0,0.6719989785615526,303,2020-03-03
11962,20200304,WI,5686986.0,0.0,0.0,0.0,0.3516801342574081,304,2020-03-04
11961,20200304,WA,6724540.0,0.029741811335793972,3.7325973226421434,0.23793449068635178,11.629048232295442,304,2020-03-04
11960,20200304,VA,8001024.0,0.0,0.012498400204773788,0.0,80.63967812120049,304,2020-03-04
11959,20200304,TX,25145561.0,0.0,0.0,0.0,0.00397684505825899,304,2020-03-04
11958,20200304,SC,4625364.0,0.0,0.0,0.0,0.10809960037739733,304,2020-03-04
11957,20200304,RI,1052567.0,0.0,0.19001165721517016,0.0,0.6650408002530955,304,2020-03-04
11956,20200304,OR,3831074.0,0.0,0.0,0.0,0.8352749124657994,304,2020-03-04
11955,20200304,NY,19378102.0,0.0,0.0,0.0,0.27866506224397003,304,2020-03-04
11954,20200304,NJ,8791894.0,0.0,0.0,0.0,0.0,304,2020-03-04
11953,20200304,NH,1316470.0,0.0,0.0,0.0,0.4557642787150486,304,2020-03-04
11952,20200304,NC,9535483.0,0.0,0.0,0.0,0.010487145748149308,304,2020-03-04
11951,20200304,MI,9883640.0,0.0,0.24282551772423924,0.0,0.748712012983071,304,2020-03-04
11950,20200304,MA,6547629.0,0.0,0.3359994892807763,0.0,1.0079984678423288,304,2020-03-04
